pool_version,dataset_name,dataset_sha256,query_id,query,language,original_answerable,query_type,defect_ids,process_ids,eval_focus,candidate_id,chunk_id,rrf_rank,dense_rank,sparse_rank,dense_score,sparse_score,dense_rrf_contribution,sparse_rrf_contribution,rrf_score,source_id,source_title,pdf_page_start,pdf_page_end,section_path,text,knowledge_base_version,index_version,collection_name,retriever_version,fusion_version,embedding_model,embedding_model_revision,query_token_count,rrf_k,final_answerable,relevance,label_origin,model_id,prompt_sha256,annotation_status,annotation_error
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-Ac15dffff61a2,gjb_3243a_2021:c_81b64272175c26a75e560271,1,1,1,0.66701794,0.18959999,0.016393442623,0.016393442623,0.0327868852459,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,16,16,"[""6 详细要求"",""6.2 组装工艺"",""6.2.2 焊膏涂覆"",""6.2.2.1 印刷""]","6.2.2.1 印刷

焊膏印刷设备及工艺参数应满足以下要求：

a) 采用自动或半自动印刷机通过印刷模板将焊膏漏印至连接盘区域。

b) 印刷设备应满足以下要求：

1) 具备良好的定位精度与重复精度，能保证印刷模板与连接盘精确对位；

2） 具备夹板系统及支撑系统，印刷时PCB应能固定，并与印刷模板紧密接触，PCB底部需
有足够的支撑，防止印刷时变形；

3) 刮刀压力与移动速度可根据要求进行调节；

4) 能控制印刷模板与PCB之间的分离过程及分离距离，并能对印刷后的模板进行擦拭，以
防堵塞模板网孔。

c) 印刷宜采用金属模板，开口应满足以下要求：

1) 孔的宽度(W)与模板厚度(T)之比大于1.5;

2) 孔开口面积(W×L)与孔壁面积(2(W+L)×T)之比大于0.66;

3) 厚度选择可参考表5，当同一印刷面上元器件引线节距差异较大时，可采用阶梯模板进行
补偿；

4) 阶梯模板宜采用正面阶梯，阶梯高度通常为0.02mm~0.08mm，阶梯边缘与其他开口距离
宜不小于3.75mm;

5) 当产品含引线节距0.4mm、球栅阵列节距0.5mm或封装尺寸 01005(英制)及以下元器件
时，宜使用纳米处理金属模板。

表 5 金属模板的厚度 | 单位为毫米
元器件引线节距(P1) | 球栅阵列节距(P2) | 模板厚度
0.65<P1≤1.27 | 0.18~0.25
1.27≤P2≤1.5
0.510.65 | 0.15~0.18
0.4<P1≤0.5 | 0.8<P2≤1.0 | 0.12~0.15
0.3<P1≤0.4 | 0.5<P2≤0.8 | 0.10~0.12
P1=0.3 | P2=0.5 | 0.08~0.10

d) 宜选用经特殊处理的金属刮刀，刮刀与印刷模板之间的印刷角度宜为60°。

e) 针对模板开孔尺寸，选择合适的焊膏颗粒直径，开孔宽度应至少能横向通过4个～5个焊膏
颗粒。

f) 可通过钢网厚度及开口、刮刀压力、刮刀速度等参数控制焊膏量。刮刀压力宜为0.3N/mm～

0.4N/mm，刮刀速度宜为20mm/s~50mm/s，模板上焊膏的滚动直径宜为15mm~25mm。

焊膏印刷后应在4h内进行再流焊接。",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,2,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-Af20d05084bfa,gjb_3243a_2021:c_5723d6edbd1cb0e47324bc7a,2,3,19,0.56624854,0.087214775,0.015873015873,0.0126582278481,0.0285312437211,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,16,17,"[""6 详细要求"",""6.2 组装工艺"",""6.2.2 焊膏涂覆"",""6.2.2.3 喷印""]","6.2.2.3 喷印

焊膏喷印设备应满足以下要求：

GJB 3243A-2021

a) 喷印设备应能根据印制板连接盘尺寸及位置编制程序，实现焊膏自动喷印；

b) 设备应具备良好的定位精度与重复精度，确保焊膏精确地喷印到连接盘区域；

c) 设备配置喷射阀，可通过喷印速度、喷头直径等参数控制焊膏量。",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,1,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-A758f0dbfe067,gjb_3243a_2021:c_d7fe338876d941d89b15eb5b,3,,2,,0.1259277,0,0.0161290322581,0.0161290322581,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,15,16,"[""6 详细要求"",""6.2 组装工艺"",""6.2.1 表面安装工艺流程""]","6.2.1 表面安装工艺流程

典型的四种表面安装机焊工艺流程见图9，实际生产时可根据生产设备、PCB及元器件种类、组装 形式等进行选择，也可以采用手焊或机焊加手焊的方式进行。

焊膏涂覆 | 贴装 | 再流焊接 | 清洗 | 检验

a) 单面再流焊

贴装胶 | 贴装 | 贴装胶 板面翻转 波峰焊接 | 清洗 | 检验
施加 | 固化

b) 单面波峰焊

B面 | 贴装 | 再流焊接 板面翻转 焊膏涂覆 A面 | 贴装 | 再流焊接 | 清洗

焊膏涂覆

c) 双面再流焊

A面 | 贴装 | 再流焊接 板面翻转 B面贴装 胶施加 | 贴装 | 固化 板面翻转

焊膏涂覆

波峰焊接 | 清洗

d) 再流焊+波峰焊
图9典型的表面安装机焊工艺流程

GJB3243A-2021",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-Ad7cf2b720bf0,solder_paste_print_inspection_guide:c_a164c87361bdc6d9dd8f3292,4,2,,0.57715446,,0.0161290322581,0,0.0161290322581,solder_paste_print_inspection_guide,Solder Paste Print Inspection Defect Guide,22,23,"[""Paste Over Printing Compromises""]","Paste Over Printing Compromises

It is common practice to overprint solder paste on plated through holes to increase the volume of solder and create perfect joints in a PIHIR process. The images show the paste deposits and the stencil used to form them. Increasing paste coverage reduces the requirement to change the

printing process to maximise paste filling the plated through hole and, in some cases, compromising the print process.

Paste is missing from one hole, but in this example is being used as local fiducial for automatic through hole insertion. The split reduced area paste deposit on the larger hole avoids contact with the body of the connector and reduces potential paste loss during preheat and final reflow.",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-Ad67a4c166d0c,ipc_7530_zh:c_9b271bad791c23f32da6b866,5,,3,,0.1255758,0,0.015873015873,0.015873015873,ipc_7530_zh,IPC-7530 焊工艺温度曲线指南（回流焊和波峰焊）中文版,5,6,"[""群焊工艺温度曲线指南（再流焊和波峰焊）""]","IPC | IPC-7530 CN

ASSOCIATION CONNECTING

ELECTRONICS INDUSTRIES ®

群焊工艺温度曲线指南

(再流焊和波峰焊)

If a conflict occurs between the English and translated versions of this document, the English version will take precedence.

本文件的英文版本与翻 | 本标准由IPC组装及连接工艺委员会温度曲线技术组
译版本如存在冲突，以 | (5-22h）开发。由IPC TGAsia 5-22hCN技术组翻译

英文版本为优先。

鼓励本标准的使用者参加未来修订版的开发。联系方式：

IPC | IPC 中国

3000 Lakeside Drive, Suite 105N 电话：400-621-8610

Bannockburn, Illinois | 邮箱：BDAChina@ipc.org
60015-1249 | 网址：www.ipc.ora.cn",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-A6d137739149b,gjb_3243a_2021:c_5b73a0607ac50b4826b099d7,6,,4,,0.120566994,0,0.015625,0.015625,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,27,29,"[""6 详细要求"",""6.4 检验"",""6.4.3 详细检验要求""]","末端连接宽度(C) | C≥85%W。

侧面连接长度(D)：焊料润

侧面连接长度(D) | 湿填充明显，从城堡的后

墙面沿着连接盘伸至或超

F | 出元器件的边缘。
焊料厚度(G) | G D | 焊料厚度(G)：润湿填充明

显。

最大填充高度(E) | E焊料不接触元器件本体。

GJB 3243A-2021 表 10(续)

元器件类型 | 检验项目 | 图例 | 说明

存在可焊表面时，要求：

城堡形端子 | F≥G+H/2。不存在连续
元器件 最小填充高度(F) | 可焊表面时，可不要求侧
(例：LCCC等) | 面爬锡。
侧面偏移(A) | A≤15%W。

趾部不允许伸出连接盘，

趾部偏移(B) | 即 B≤0。
末端连接宽度(C) | C≥85%W。
底部端子 侧面连接长度(D) | D≥150%W。
元器件 | 焊料填充厚度(G)：润湿明
(例：QFN、 焊料填充厚度(G) | 显。

SON、DFN、

LGA 等) | 封装侧面有连续可焊表面
最小趾部(末端)填 | 的，最小趾部(末端)填充
充高度(F) | 高度(F)要求与用户协商

确定。散热面空洞可由制造商与

散热面空洞 | 用户协商确定。
A≤10% P,或A≤10% D,

取两者中的较小者，且不

偏移(A) | 违反最小电气间隙。其中，

P 为连接盘直径，D 为焊 球直径。

BGA焊球接触并润湿连接

润湿 | 盘，形成一个连续不断的

椭圆形连接。BGA(可塌落 焊球)

焊球 | 焊球无缺失。
焊料桥接 | BGA 焊球无焊料桥接。

GJB 3243A-2021 表 10(续)

元器件类型 | 检验项目 | 图例 | 说明

X射线影像区内任何 BGA",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-A43a4105958f0,solder_paste_print_inspection_guide:c_68ac747f44ca13921c86fa5b,7,4,,0.5644825,,0.015625,0,0.015625,solder_paste_print_inspection_guide,Solder Paste Print Inspection Defect Guide,19,19,"[""Incomplete & Missing Paste Deposit""]","Incomplete & Missing Paste Deposit

This is a great example of missing and incomplete paste deposit from a production line the author was running at an exhibition for three days. The printing problem was seen on different pastes,different stencils with manual optical inspection and highlighted by automatic SPI. There is of course a little misalignment on this example but the reflow soldering results were perfect with the exception of the missing deposits.The simple answer was engineering error and not checking the stencil supplier’s check plots. This stencil was replaced with larger area array apertures with overprinting of the pads which provided superior paste release on all pastes and stencil types. The author had a more relaxed exhibition with less process defects with a new stencil.",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,2,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-A9df3a53d545b,gjb_3243a_2021:c_70adb3a538fdb8e2be133b83,8,,5,,0.11853859,0,0.0153846153846,0.0153846153846,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,5,5,"[""3 术语和定义"",""3.9 混合/向后兼容mixed/backwards compatible""]","3.9 混合/向后兼容mixed/backwards compatible

无铅元器件使用锡铅焊料焊接的工艺。",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-A48d06c973cfb,indium_solder_defects_2021:c_a12567521f1fd9dd2021241d,9,5,,0.5616205,,0.0153846153846,0,0.0153846153846,indium_solder_defects_2021,A Guide to Minimizing Solder Defects,35,36,"[""Solder Paste Insufficients""]","Solder Paste Insufficients

Although a source for this statistic cannot be found, it is widely believed by industry experts that approximately two-thirds of the end-of-the-line defects in electronics assembly can be traced back to the stencil printing process.Therefore, a proper amount of solder paste printed squarely on the printed wiring board (PWB) pad is the best safeguard for good end-of-the-line yields.In this chapter, we will assume the solder paste is deposited squarely on the PWB pads and focus on how to ensure the amount of solder paste is adequate and consistent (Figure 5.1).

Figure 5.1: A good solder print vs. an insufficient solder print.The Basics To ensure successful stencil printing, a few basics are required. First, work with your solder paste supplier to ensure you are using a high-quality solder

paste. This paste should have good response-to-pause and a long stencil life,
and should not exhibit issues such as squeegee hang-up. Some assemblers may try to save pennies per gram up-front by purchasing a subpar solder paste, but end up ruining a several hundred-dollar PCB for a $1,000 smart

phone. This is compounded when talking about tens of thousands of dollars
in boards, with applications like servers or super computers.

manufacturers’ specifications. This might include: the correct squeegee (metal",0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,2,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
pcba-retrieval-eval-top20/1.0.0,pcba_retriever_main_v1,c08d69c386e3ead93375e210a1bbdd7fcfd5ce2a1e0594ac81084d93a55daafa,Q002,哪些印刷工艺因素可能造成焊料不足？,zh,true,cause_retrieval,"[""insufficient_solder""]","[""printing""]","[""dense"",""rrf""]",Q002-Ae1ab6e87f9a8,gjb_3243a_2021:c_52314b9861174e56fb468b78,10,,6,,0.1165109,0,0.0151515151515,0.0151515151515,gjb_3243a_2021,GJB 3243A-2021 电子元器件表面安装要求,20,20,"[""6 详细要求"",""6.2 组装工艺"",""6.2.6 焊接""]",6.2.6 焊接,0.3.0,0.3.0,pcba_industrial_knowledge_v0_3,pcba-rag-retriever/0.3.0,pcba-rag-fusion/0.1.0,BAAI/bge-m3,5617a9f61b028005a4858fdac845db406aefb181,13,60,true,0,reused_v0.3_exact_query_chunk,qwen3.8-max,67e58bb23cf799d86e3fea1606909186b881c6307b29e8cac74c4b443ef6af4f,completed,
